Day,Archibald the Wise,Archiwise the Bald,Averill,Azeru,Boltholopew,Burova,Cayn,Danny Nova,Dankon Ground,Gnarck,Gouberi,Lomerius Xardus,Moon Finder,Nettie Silver,Penta Vasi,Ricewined,Tehami Darke,Yungreen,Zancro,Zeledin Zura
32,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,N/A,N/A,N/A,N/A,N/A,N/A
33,N/A,5,N/A,N/A,9,N/A,6,6,N/A,N/A,N/A,N/A,3,11,N/A,N/A,N/A,N/A,N/A,N/A
34,N/A,N/A,N/A,N/A,10,N/A,7,N/A,5,N/A,N/A,N/A,11,8,N/A,N/A,N/A,N/A,N/A,N/A
35,N/A,N/A,N/A,N/A,11,N/A,8,6,N/A,N/A,N/A,N/A,8,9,N/A,N/A,N/A,N/A,N/A,N/A
36,N/A,7,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,11,N/A,N/A,N/A,N/A,N/A,N/A
37,N/A,5,N/A,N/A,N/A,N/A,10,3,N/A,N/A,N/A,N/A,8,7,N/A,N/A,N/A,N/A,N/A,N/A
38,N/A,7,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,12,N/A
39,N/A,5,6,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,4,11,N/A,N/A,N/A,N/A,N/A,N/A
40,N/A,5,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,N/A,N/A,N/A,N/A,N/A
41,N/A,5,N/A,N/A,11,N/A,2,5,N/A,N/A,N/A,N/A,10,7,N/A,N/A,N/A,N/A,8,N/A
42,N/A,N/A,N/A,3,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,7,N/A,N/A,N/A,N/A,N/A,N/A
43,N/A,N/A,N/A,N/A,7,N/A,4,N/A,N/A,N/A,N/A,N/A,9,11,N/A,N/A,N/A,N/A,N/A,N/A
44,N/A,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,7,N/A,N/A,N/A,N/A,N/A,N/A
45,N/A,5,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,N/A,N/A,7,N/A
46,N/A,7,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,4,N/A
47,N/A,5,6,8,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,4,6,N/A,N/A,N/A,N/A,N/A,N/A
48,N/A,7,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,8,11,N/A,N/A,N/A,N/A,N/A,N/A
49,N/A,5,N/A,10,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,10,N/A,N/A,N/A,N/A,12,N/A
50,N/A,N/A,N/A,11,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,9,N/A,N/A,N/A,N/A,4,N/A
51,N/A,N/A,N/A,12,11,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A
52,N/A,5,N/A,1,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,10,4,N/A,N/A,N/A,N/A,3,N/A
53,N/A,5,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,10,N/A,N/A,N/A,N/A,3,N/A
54,N/A,7,N/A,N/A,N/A,N/A,3,5,N/A,N/A,N/A,N/A,6,4,N/A,N/A,N/A,N/A,7,N/A
55,N/A,5,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A
56,N/A,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,N/A,N/A,N/A,N/A,5,N/A
57,N/A,7,N/A,N/A,9,N/A,6,N/A,N/A,N/A,N/A,N/A,5,9,N/A,N/A,N/A,N/A,N/A,N/A
58,N/A,N/A,N/A,7,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,10,N/A,N/A,N/A,N/A,N/A,N/A
59,N/A,N/A,N/A,8,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A
60,N/A,7,N/A,9,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,9,4,N/A,N/A,N/A,N/A,9,N/A
61,N/A,7,N/A,N/A,N/A,N/A,10,7,N/A,N/A,N/A,N/A,6,7,N/A,N/A,N/A,N/A,N/A,N/A
62,N/A,5,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,2,9,N/A,N/A,N/A,N/A,N/A,N/A
63,N/A,7,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,9,N/A,N/A,N/A,N/A,11,N/A
64,N/A,5,N/A,1,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,6,8,N/A,N/A,N/A,N/A,N/A,N/A
65,N/A,5,N/A,2,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,10,N/A,N/A,N/A,N/A,N/A,N/A
66,N/A,N/A,N/A,3,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A
67,N/A,N/A,N/A,4,11,N/A,N/A,8,N/A,N/A,N/A,N/A,10,11,N/A,N/A,N/A,N/A,N/A,N/A
68,N/A,5,N/A,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,1,9,N/A,N/A,N/A,N/A,N/A,N/A
69,N/A,7,N/A,N/A,N/A,N/A,6,9,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A
70,N/A,7,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A
71,N/A,5,N/A,8,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A
72,N/A,7,N/A,N/A,N/A,N/A,9,4,N/A,N/A,N/A,N/A,8,7,N/A,N/A,N/A,N/A,N/A,N/A
73,N/A,7,N/A,10,7,N/A,N/A,4,N/A,N/A,N/A,N/A,11,2,N/A,N/A,N/A,N/A,N/A,N/A
74,N/A,N/A,N/A,N/A,10,N/A,11,N/A,N/A,N/A,N/A,N/A,9,11,N/A,N/A,N/A,N/A,N/A,N/A
75,N/A,N/A,N/A,12,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,2,N/A,N/A,N/A,N/A,N/A,N/A
76,N/A,7,N/A,1,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,10,10,N/A,N/A,N/A,N/A,N/A,N/A
77,N/A,7,N/A,2,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,7,11,N/A,N/A,N/A,N/A,10,N/A
78,N/A,5,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,11,11,N/A,N/A,N/A,N/A,N/A,N/A
79,N/A,5,7,N/A,N/A,N/A,4,N/A,1,N/A,N/A,N/A,2,9,N/A,N/A,N/A,N/A,N/A,N/A
80,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,10,N/A,N/A,N/A,N/A,N/A,N/A
81,N/A,5,N/A,6,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A
82,N/A,N/A,N/A,7,11,N/A,N/A,7,N/A,N/A,N/A,N/A,11,10,N/A,N/A,N/A,N/A,N/A,N/A
83,N/A,N/A,N/A,8,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,11,N/A,N/A,N/A,N/A,N/A,N/A
84,N/A,5,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,8,N/A,N/A,N/A,N/A,2,N/A
85,N/A,5,8,10,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,6,10,N/A,N/A,N/A,N/A,N/A,N/A
86,N/A,7,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,4,4,N/A,N/A,N/A,N/A,N/A,N/A
87,N/A,7,N/A,12,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,6,10,N/A,N/A,N/A,N/A,N/A,N/A
88,N/A,7,N/A,1,N/A,N/A,N/A,N/A,8,10,N/A,N/A,10,9,N/A,N/A,N/A,N/A,N/A,N/A
89,N/A,5,N/A,N/A,9,N/A,2,5,N/A,9,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A
90,N/A,N/A,N/A,3,11,N/A,N/A,N/A,N/A,11,N/A,N/A,7,10,N/A,N/A,N/A,N/A,5,N/A
91,N/A,N/A,N/A,4,9,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,10,N/A
92,6,7,N/A,5,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,8,9,N/A,N/A,N/A,N/A,N/A,N/A
93,7,5,N/A,6,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,11,10,N/A,N/A,N/A,N/A,10,N/A
94,3,7,N/A,7,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,10,10,N/A,N/A,N/A,N/A,N/A,N/A
95,3,7,9,8,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,11,6,N/A,N/A,N/A,N/A,N/A,N/A
96,5,5,N/A,N/A,N/A,N/A,9,8,N/A,11,N/A,N/A,11,12,N/A,N/A,N/A,N/A,N/A,N/A
97,6,5,N/A,N/A,7,N/A,10,N/A,N/A,9,N/A,N/A,9,8,N/A,N/A,N/A,N/A,N/A,N/A
98,5,N/A,N/A,N/A,9,N/A,11,2,N/A,9,N/A,N/A,9,10,N/A,N/A,N/A,N/A,N/A,N/A
99,3,N/A,N/A,N/A,10,N/A,12,N/A,N/A,11,N/A,N/A,11,8,N/A,N/A,N/A,N/A,N/A,N/A
100,1,7,N/A,N/A,N/A,N/A,1,4,N/A,9,N/A,N/A,9,10,N/A,N/A,N/A,N/A,N/A,N/A
101,1,5,6,2,N/A,N/A,N/A,6,N/A,9,N/A,N/A,9,6,N/A,N/A,N/A,N/A,N/A,N/A
102,3,5,N/A,3,N/A,N/A,N/A,2,N/A,10,N/A,N/A,10,7,N/A,N/A,N/A,N/A,N/A,N/A
103,5,5,N/A,4,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,10,2,N/A,N/A,N/A,N/A,N/A,N/A
104,3,5,N/A,N/A,N/A,N/A,5,6,N/A,10,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A
105,4,5,N/A,6,9,N/A,N/A,6,5,11,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A
106,5,N/A,N/A,7,8,N/A,N/A,2,N/A,10,N/A,N/A,10,8,N/A,N/A,N/A,N/A,N/A,N/A
107,6,N/A,N/A,8,10,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A
108,3,5,N/A,9,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,10,10,N/A,N/A,N/A,N/A,6,N/A
109,3,7,N/A,10,N/A,N/A,N/A,N/A,4,10,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,3,N/A
110,3,7,N/A,N/A,N/A,N/A,11,N/A,N/A,9,N/A,N/A,9,10,N/A,N/A,N/A,N/A,N/A,N/A
111,3,5,N/A,12,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A
112,3,5,N/A,1,N/A,N/A,N/A,7,N/A,11,N/A,N/A,11,2,N/A,N/A,N/A,N/A,N/A,N/A
113,3,5,N/A,N/A,8,N/A,2,N/A,N/A,10,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A
114,3,N/A,N/A,3,6,N/A,N/A,N/A,N/A,11,N/A,N/A,11,4,N/A,N/A,N/A,N/A,4,N/A
115,1,N/A,N/A,4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,11,N/A,N/A,N/A,N/A,N/A,N/A
116,3,5,N/A,5,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,2,2,N/A,N/A,N/A,N/A,N/A,N/A
117,4,5,N/A,6,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,10,N/A,N/A,N/A,N/A,9,N/A
118,3,7,8,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,9,N/A,N/A,N/A,N/A,N/A,N/A
119,6,7,N/A,8,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,10,10,N/A,N/A,N/A,N/A,N/A,N/A
120,5,5,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A
121,1,5,N/A,10,9,N/A,N/A,3,N/A,N/A,N/A,N/A,3,10,N/A,N/A,N/A,N/A,1,N/A
122,6,N/A,N/A,N/A,10,N/A,11,3,N/A,N/A,N/A,N/A,10,10,N/A,N/A,N/A,N/A,N/A,N/A
123,6,N/A,N/A,N/A,9,N/A,12,N/A,11,N/A,N/A,N/A,9,11,N/A,N/A,N/A,N/A,2,N/A
124,4,7,6,N/A,N/A,N/A,1,8,N/A,N/A,N/A,N/A,7,10,N/A,N/A,N/A,N/A,N/A,N/A
125,6,5,N/A,2,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,8,8,N/A,N/A,N/A,N/A,N/A,N/A
126,3,5,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,11,N/A,N/A,N/A,N/A,N/A,N/A
127,3,5,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,11,N/A,N/A,N/A,N/A,N/A,N/A
128,3,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,4,N/A,N/A,N/A,N/A,N/A,N/A
129,6,5,N/A,6,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,8,N/A
130,4,N/A,6,7,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,6,N/A
131,3,N/A,N/A,N/A,7,N/A,8,10,N/A,N/A,N/A,N/A,6,9,N/A,N/A,N/A,N/A,11,N/A
132,6,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,N/A,N/A,N/A,N/A
133,3,5,N/A,N/A,N/A,N/A,10,5,5,N/A,N/A,N/A,4,7,N/A,N/A,N/A,N/A,N/A,N/A
134,3,5,N/A,N/A,N/A,N/A,11,4,N/A,N/A,N/A,N/A,11,6,N/A,N/A,N/A,N/A,11,N/A
135,3,5,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,10,N/A,N/A,N/A,N/A,N/A,N/A
136,3,5,8,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,4,N/A,N/A,N/A,N/A,N/A,N/A
137,3,5,N/A,N/A,8,N/A,2,N/A,N/A,N/A,N/A,N/A,11,6,N/A,N/A,N/A,N/A,N/A,N/A
138,3,N/A,N/A,3,8,N/A,N/A,N/A,2,N/A,N/A,N/A,8,9,N/A,N/A,N/A,N/A,11,N/A
139,3,N/A,N/A,4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A,4,N/A
140,3,5,N/A,5,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,10,10,N/A,N/A,N/A,N/A,9,N/A
141,5,5,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,5,4,N/A,N/A,N/A,N/A,N/A,N/A
142,3,5,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,7,N/A,N/A,N/A,N/A,N/A,N/A
143,3,7,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,6,N/A,N/A,N/A,N/A,N/A,N/A
144,4,7,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,7,7,N/A,N/A,N/A,N/A,1,N/A
145,6,5,N/A,10,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,N/A,N/A,N/A,N/A,N/A,N/A
146,4,N/A,N/A,N/A,10,N/A,11,7,N/A,N/A,N/A,N/A,6,7,N/A,N/A,N/A,N/A,N/A,N/A
147,3,N/A,N/A,N/A,10,N/A,12,N/A,N/A,N/A,N/A,N/A,2,9,N/A,N/A,N/A,N/A,N/A,N/A
148,7,5,N/A,N/A,N/A,N/A,1,7,N/A,N/A,N/A,N/A,11,10,N/A,N/A,N/A,N/A,N/A,N/A
149,3,5,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,10,N/A,N/A,N/A,N/A,N/A,N/A
150,3,5,N/A,3,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,11,10,N/A,N/A,N/A,N/A,N/A,N/A
151,4,5,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,7,N/A
152,3,5,N/A,5,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,11,11,N/A,N/A,N/A,N/A,12,N/A
153,6,7,N/A,N/A,6,N/A,6,N/A,N/A,N/A,N/A,N/A,9,11,N/A,N/A,N/A,N/A,N/A,N/A
154,7,N/A,N/A,N/A,7,N/A,7,1,7,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A
155,7,N/A,N/A,8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,9,N/A,N/A,N/A,N/A,7,N/A
156,3,5,N/A,9,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A
157,7,5,N/A,N/A,N/A,N/A,10,N/A,10,N/A,N/A,N/A,11,2,N/A,N/A,N/A,N/A,2,N/A
158,5,7,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,10,N/A,N/A,N/A,N/A,N/A,N/A
159,4,5,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,2,N/A
160,3,5,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,10,N/A,N/A,N/A,N/A,6,N/A
161,4,5,6,N/A,7,N/A,2,6,N/A,N/A,N/A,N/A,6,11,N/A,N/A,N/A,N/A,N/A,N/A
162,3,N/A,N/A,3,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,6,N/A,8,N/A
163,5,N/A,N/A,4,11,N/A,N/A,2,5,N/A,N/A,N/A,11,9,N/A,N/A,6,N/A,N/A,N/A
164,6,7,N/A,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,11,11,N/A,N/A,6,N/A,2,N/A
165,6,5,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,9,8,N/A,N/A,6,N/A,N/A,N/A
166,3,5,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,6,N/A,N/A,N/A
167,3,7,N/A,8,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,3,11,N/A,N/A,6,N/A,7,N/A
168,3,7,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,5,N/A,N/A,6,N/A,N/A,N/A
169,3,5,N/A,10,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,11,N/A,N/A,6,N/A,N/A,N/A
170,3,N/A,N/A,N/A,10,N/A,11,N/A,N/A,N/A,N/A,N/A,11,9,N/A,N/A,6,N/A,N/A,N/A
171,3,N/A,N/A,12,10,N/A,N/A,N/A,5,N/A,N/A,N/A,7,6,N/A,N/A,6,N/A,6,N/A
172,3,5,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,N/A,N/A,6,N/A,4,N/A
173,3,7,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,10,N/A,N/A,11,N/A,N/A,N/A
174,3,7,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,6,N/A,N/A,N/A
175,4,7,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,10,9,N/A,N/A,6,N/A,N/A,N/A
176,3,5,N/A,N/A,N/A,N/A,5,N/A,5,N/A,N/A,N/A,N/A,10,N/A,N/A,6,N/A,N/A,N/A
177,3,5,N/A,N/A,11,N/A,6,1,N/A,N/A,N/A,N/A,11,11,N/A,N/A,10,N/A,N/A,N/A
178,3,N/A,N/A,N/A,10,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,6,N/A,1,N/A
179,3,N/A,N/A,8,11,N/A,N/A,N/A,5,N/A,N/A,N/A,10,7,N/A,N/A,6,N/A,N/A,N/A
180,3,5,N/A,N/A,N/A,N/A,9,3,N/A,N/A,N/A,N/A,10,6,N/A,N/A,6,N/A,9,N/A
181,3,5,10,10,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,8,10,N/A,N/A,6,N/A,N/A,N/A
182,2,7,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,9,N/A,11,N/A
183,3,5,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,N/A,N/A,6,N/A,N/A,N/A
184,4,5,N/A,N/A,N/A,N/A,1,7,N/A,N/A,N/A,N/A,9,6,N/A,N/A,6,N/A,N/A,N/A
185,6,5,N/A,2,8,N/A,N/A,7,N/A,N/A,N/A,N/A,10,4,N/A,N/A,6,N/A,N/A,N/A
186,3,N/A,N/A,3,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,8,N/A,N/A,N/A
187,3,N/A,N/A,4,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,6,N/A,N/A,N/A
188,4,7,6,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,6,N/A,N/A,N/A
189,3,7,N/A,6,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,11,10,N/A,N/A,6,N/A,N/A,N/A
190,3,5,N/A,7,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,6,N/A,N/A,N/A
191,5,7,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,6,N/A,N/A,N/A
192,1,5,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,11,N/A,N/A,6,N/A,N/A,N/A
193,3,5,N/A,10,10,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,6,N/A,N/A,N/A
