Heal_UID,Day,Disease Healed,Sector
309,49,Scraped Knee,12
310,49,Scraped Elbow,12
311,49,Scraped Elbow,12
312,49,Scraped Elbow,12
313,49,The Shivers,12
314,50,Scramblepox,12
315,50,Smokesickness,9
316,50,Smokesickness,9
317,50,Smokesickness,9
318,50,Smokesickness,9
319,50,Smokesickness,9
320,50,Smokesickness,9
321,50,Smokesickness,9
322,50,Smokesickness,9
323,50,Scraped Knee,4
324,50,The Shivers,8
325,51,Mildly But Persistently Itchy Throat,4
326,51,Scramblepox,1
327,51,Smokesickness,9
328,51,Smokesickness,9
329,51,Smokesickness,9
330,51,Smokesickness,9
331,51,Smokesickness,9
332,51,Smokesickness,9
333,51,Smokesickness,9
334,51,The Shivers,3
335,52,Mildly But Persistently Itchy Throat,4
336,52,Bumblepox,2
337,52,Smokesickness,4
338,52,Smokesickness,4
339,52,Smokesickness,4
340,52,The Shivers,2
341,53,Scramblepox,3
342,53,Smokesickness,10
343,53,Smokesickness,10
344,53,Smokesickness,10
345,53,Smokesickness,10
346,53,Smokesickness,10
347,53,Scraped Knee,3
348,53,The Shivers,4
349,54,Chucklepox,5
350,54,Chucklepox,5
351,54,Gurglepox,5
352,54,Rumblepox,5
353,54,Smokesickness,4
354,54,Smokesickness,4
355,54,Smokesickness,4
356,54,Smokesickness,4
357,54,Smokesickness,4
358,54,Smokesickness,4
359,54,Scraped Knee,7
360,55,Bumblepox,5
361,55,The Shivers,6
362,56,Rumblepox,3
363,56,Rumblepox,3
364,56,Rumblepox,3
365,56,Rumblepox,3
366,56,Rumblepox,3
367,56,Scramblepox,4
368,56,Smokesickness,2
369,56,Smokesickness,2
370,56,The Shivers,3
371,57,Smokesickness,9
372,57,Smokesickness,9
373,58,Scramblepox,8
374,58,Smokesickness,10
375,58,Smokesickness,10
376,58,Smokesickness,10
377,58,The Shivers,6
378,59,Bumblepox,9
379,59,Smokesickness,8
380,59,The Shivers,9
381,60,Mildly But Persistently Itchy Throat,5
382,60,Scramblepox,8
383,60,Smokesickness,4
384,60,Smokesickness,4
385,60,Smokesickness,4
386,60,Scraped Knee,9
387,60,Scraped Knee,9
388,60,The Shivers,6
389,61,Rumblepox,7
390,61,The Shivers,2
391,62,The Shivers,7
392,63,Scramblepox,1
393,63,Smokesickness,9
394,63,Smokesickness,9
395,63,The Shivers,12
396,64,Scramblepox,2
397,64,Chucklepox,2
398,64,Scramblepox,2
399,64,Smokesickness,8
400,64,Smokesickness,8
401,65,Scramblepox,1
402,65,Smokesickness,10
403,65,Smokesickness,10
404,65,Smokesickness,10
405,65,The Shivers,1
406,66,Scramblepox,2
407,66,Smokesickness,5
408,66,Smokesickness,5
409,66,The Shivers,8
410,67,Chucklepox,8
411,67,Chucklepox,8
412,67,Scramblepox,8
413,67,Bumblepox,5
414,67,Smokesickness,11
415,67,Smokesickness,11
416,67,Smokesickness,11
417,67,Smokesickness,11
418,67,Smokesickness,11
419,67,Smokesickness,11
420,67,Smokesickness,11
421,67,Smokesickness,11
422,67,The Shivers,3
423,68,Chucklepox,5
424,68,Gurglepox,5
425,68,Bumblepox,4
426,68,Smokesickness,9
427,68,Smokesickness,9
428,69,Babblepox,9
429,69,Scramblepox,9
430,69,The Shivers,3
431,70,Scramblepox,6
432,70,Smokesickness,7
433,70,Smokesickness,7
434,70,Smokesickness,7
435,70,The Shivers,5
436,71,Chucklepox,10
437,71,Bumblepox,10
438,71,Scramblepox,9
439,71,Smokesickness,10
440,71,Smokesickness,10
441,71,Smokesickness,10
442,71,Smokesickness,10
443,71,Smokesickness,10
444,71,Smokesickness,10
445,71,Smokesickness,10
446,71,Smokesickness,10
447,71,The Shivers,8
448,72,Bumblepox,4
449,72,Chucklepox,4
450,72,Smokesickness,7
451,72,Smokesickness,7
452,72,Smokesickness,7
453,72,Smokesickness,7
454,72,Smokesickness,7
455,72,Smokesickness,7
456,72,The Shivers,6
457,73,Chucklepox,4
458,73,Scramblepox,9
459,73,The Shivers,12
460,74,Smokesickness,11
461,74,The Shivers,9
462,75,Bumblepox,11
463,75,The Shivers,6
464,76,Gurglepox,9
465,76,Scramblepox,12
466,76,Smokesickness,10
467,76,The Shivers,6
468,77,Gurglepox,7
469,77,Scramblepox,1
470,77,Smokesickness,11
471,77,Smokesickness,11
472,77,Smokesickness,11
473,77,Scraped Knee,10
474,77,Scraped Knee,10
475,77,The Shivers,1
476,78,Smokesickness,11
477,78,Smokesickness,11
478,78,The Shivers,11
479,79,Gurglepox,7
480,79,Smokesickness,9
481,79,Smokesickness,9
482,79,Smokesickness,9
483,79,Smokesickness,9
484,79,Smokesickness,9
485,79,Smokesickness,9
486,79,Smokesickness,9
487,79,Smokesickness,9
488,79,The Shivers,10
489,80,Scramblepox,4
490,80,Smokesickness,10
491,80,Smokesickness,10
492,80,Smokesickness,10
493,80,The Shivers,6
494,81,Rumblepox,7
495,81,Rumblepox,7
496,81,Rumblepox,7
497,81,Scramblepox,5
498,81,Smokesickness,9
499,81,Smokesickness,9
500,81,Smokesickness,9
501,81,Smokesickness,9
502,81,The Shivers,2
503,82,Babblepox,7
504,82,Babblepox,7
505,82,Scramblepox,8
506,82,Smokesickness,10
507,82,Smokesickness,10
508,82,Smokesickness,10
509,82,Smokesickness,10
510,82,Smokesickness,10
511,82,Smokesickness,10
512,82,Smokesickness,10
513,83,Scramblepox,9
514,83,Problems Disorder,10
515,83,Problems Disorder,10
516,83,Disease Syndrome,10
517,83,Problems Disorder,10
518,83,Problems Disorder,10
519,83,Problems Disorder,10
520,83,Disease Syndrome,10
521,83,Parachondria,10
522,83,Problems Disorder,10
523,83,Problems Disorder,10
524,83,Disease Syndrome,10
525,83,Disease Syndrome,10
526,83,Disease Syndrome,10
527,83,Problems Disorder,10
528,83,Disease Syndrome,10
529,83,Smokesickness,11
530,83,The Shivers,6
531,84,Scramblepox,8
532,84,Smokesickness,8
533,84,Smokesickness,8
534,84,Smokesickness,8
535,84,Smokesickness,8
536,84,Smokesickness,8
537,84,Smokesickness,8
538,84,Scraped Knee,2
539,84,Scraped Elbow,2
540,84,Scraped Knee,2
541,84,The Shivers,6
542,85,Rumblepox,2
543,85,Scramblepox,11
544,85,Smokesickness,10
545,85,Smokesickness,10
546,85,Smokesickness,10
547,85,The Shivers,5
548,86,Rumblepox,8
549,86,Rumblepox,8
550,86,Rumblepox,8
551,86,Rumblepox,8
552,86,Rumblepox,8
553,86,Rumblepox,8
554,86,The Shivers,10
555,87,Scramblepox,1
556,87,Smokesickness,10
557,87,Smokesickness,10
558,87,Smokesickness,10
559,87,Smokesickness,10
560,87,Smokesickness,10
561,87,Smokesickness,10
562,87,Smokesickness,10
563,87,Smokesickness,10
564,87,The Shivers,5
565,88,Gurglepox,2
566,88,Bumblepox,2
567,88,Smokesickness,9
568,88,Smokesickness,9
569,88,The Shivers,4
570,89,Chucklepox,5
571,89,Smokesickness,4
572,89,Smokesickness,4
573,89,Smokesickness,4
574,90,Scramblepox,2
575,90,Smokesickness,10
576,90,Smokesickness,10
577,90,Scraped Knee,5
578,90,Scraped Elbow,5
579,90,Scraped Knee,5
580,90,The Shivers,5
581,91,Bumblepox,5
582,91,Scraped Knee,10
583,91,Scraped Knee,10
584,91,The Shivers,3
585,92,Scramblepox,4
586,92,The Shivers,1
587,93,Scramblepox,5
588,93,Smokesickness,10
589,93,Smokesickness,10
590,93,Smokesickness,10
591,93,Smokesickness,10
592,93,Smokesickness,10
593,93,Smokesickness,10
594,93,Smokesickness,10
595,93,Smokesickness,10
596,94,Scramblepox,8
597,94,Smokesickness,10
598,94,Smokesickness,10
599,94,Smokesickness,10
600,94,Smokesickness,10
601,94,Smokesickness,10
602,94,Smokesickness,10
603,94,Smokesickness,10
604,94,Smokesickness,10
605,94,Smokesickness,10
606,94,The Shivers,2
607,95,Scramblepox,7
608,95,Smokesickness,6
609,95,Smokesickness,6
610,95,Smokesickness,6
611,95,The Shivers,6
612,96,Rumblepox,9
613,96,Rumblepox,9
614,96,Rumblepox,9
615,96,Rumblepox,9
616,96,Rumblepox,9
617,96,Rumblepox,9
618,96,Bumblepox,8
619,96,Babblepox,8
620,96,Chucklepox,8
621,97,Disease Syndrome,8
622,97,Parachondria,8
623,97,Problems Disorder,8
624,97,Disease Syndrome,8
625,97,Parachondria,8
626,97,Disease Syndrome,8
627,97,Disease Syndrome,8
628,97,Parachondria,8
629,97,Disease Syndrome,8
630,97,Disease Syndrome,8
631,97,Parachondria,8
632,97,Problems Disorder,8
633,97,The Shivers,12
634,98,Bumblepox,2
635,98,Smokesickness,10
636,98,The Shivers,5
637,99,Smokesickness,8
638,99,Smokesickness,8
639,99,Smokesickness,8
640,99,Smokesickness,8
641,99,Smokesickness,8
642,100,Chucklepox,4
643,100,Smokesickness,10
644,100,Smokesickness,10
645,100,Smokesickness,10
646,100,Smokesickness,10
647,100,Smokesickness,10
648,100,Smokesickness,10
649,100,Smokesickness,10
650,100,The Shivers,6
651,101,Rumblepox,6
652,101,Babblepox,6
653,101,Chucklepox,6
654,101,Chucklepox,6
655,101,Bumblepox,3
656,101,Smokesickness,6
657,102,Rumblepox,6
658,102,Rumblepox,6
659,102,Rumblepox,6
660,102,Rumblepox,6
661,102,Rumblepox,6
662,102,Chucklepox,2
663,102,Babblepox,2
664,102,Scramblepox,2
665,102,The Shivers,6
666,103,Scramblepox,5
667,103,The Shivers,10
668,104,Chucklepox,6
669,104,Scramblepox,6
670,104,Scramblepox,6
671,104,Rumblepox,6
672,104,Smokesickness,5
673,105,Babblepox,6
674,105,Mildly But Persistently Itchy Throat,11
675,105,Scramblepox,7
676,105,Smokesickness,8
677,105,Smokesickness,8
678,105,Smokesickness,8
679,105,The Shivers,8
680,106,Chucklepox,2
681,106,Scramblepox,6
682,106,Problems Disorder,9
683,106,Problems Disorder,9
684,106,Problems Disorder,9
685,106,Problems Disorder,9
686,106,Disease Syndrome,9
687,106,Problems Disorder,9
688,106,Problems Disorder,9
689,106,Problems Disorder,9
690,106,Parachondria,9
691,106,Parachondria,9
692,106,Problems Disorder,9
693,106,Problems Disorder,9
694,106,Smokesickness,8
695,106,The Shivers,6
696,107,Scramblepox,7
697,107,Smokesickness,9
698,107,Smokesickness,9
699,107,Smokesickness,9
700,107,Smokesickness,9
701,107,Smokesickness,9
702,107,Smokesickness,9
703,107,The Shivers,12
704,108,Bumblepox,10
705,108,Smokesickness,10
706,108,Smokesickness,10
707,108,The Shivers,12
708,109,Bumblepox,11
709,109,Smokesickness,3
710,109,The Shivers,6
711,110,Smokesickness,10
712,110,Smokesickness,10
713,110,Smokesickness,10
714,110,Smokesickness,10
715,110,Smokesickness,10
716,110,Smokesickness,10
717,110,The Shivers,6
718,111,Scramblepox,11
719,111,The Shivers,4
720,112,Scramblepox,7
721,112,Bumblepox,2
722,113,Smokesickness,2
723,113,Smokesickness,2
724,113,Smokesickness,2
725,113,Smokesickness,2
726,113,The Shivers,12
727,114,Scramblepox,4
728,114,Smokesickness,4
729,114,Scraped Knee,4
730,114,Scraped Elbow,4
731,114,Scraped Elbow,4
732,115,Scramblepox,5
733,115,Smokesickness,11
734,115,Smokesickness,11
735,115,The Shivers,3
736,116,Babblepox,4
737,116,Rumblepox,4
738,116,Rumblepox,4
739,116,Bumblepox,6
740,116,Smokesickness,2
741,116,The Shivers,6
742,117,Mildly But Persistently Itchy Throat,7
743,117,Bumblepox,7
744,117,Smokesickness,10
745,117,Scraped Knee,9
746,117,The Shivers,12
747,118,Bumblepox,8
748,118,The Shivers,6
749,119,Gurglepox,1
750,119,Scramblepox,7
751,119,Smokesickness,10
752,119,Smokesickness,10
753,119,Smokesickness,10
754,119,Smokesickness,10
755,119,The Shivers,12
756,120,Scramblepox,8
757,120,Smokesickness,11
758,120,The Shivers,2
759,121,Rumblepox,8
760,121,Rumblepox,8
761,121,Rumblepox,8
762,121,Rumblepox,8
763,121,Chucklepox,3
764,121,Scramblepox,3
765,121,Scramblepox,11
766,121,Smokesickness,10
767,121,Smokesickness,10
768,121,Smokesickness,10
769,121,Scraped Knee,1
770,121,Scraped Knee,1
771,121,The Shivers,10
772,122,Bumblepox,3
773,122,Smokesickness,10
774,122,Smokesickness,10
775,122,Smokesickness,10
776,122,Smokesickness,10
777,122,The Shivers,6
778,123,Gurglepox,5
779,123,Smokesickness,11
780,123,Smokesickness,11
781,123,Smokesickness,11
782,123,Scraped Elbow,2
783,123,The Shivers,5
784,124,Babblepox,8
785,124,Smokesickness,10
786,124,Smokesickness,10
787,124,Smokesickness,10
788,124,Smokesickness,10
789,124,Smokesickness,10
790,124,Smokesickness,10
791,124,Smokesickness,10
792,124,The Shivers,6
793,125,Rumblepox,6
794,125,Rumblepox,6
795,125,Rumblepox,6
796,125,Rumblepox,6
797,125,Rumblepox,6
798,125,Rumblepox,6
799,125,Gurglepox,4
800,125,Scramblepox,3
801,125,Smokesickness,8
802,125,Smokesickness,8
803,125,Smokesickness,8
804,125,Smokesickness,8
805,125,Smokesickness,8
806,125,Smokesickness,8
807,125,Smokesickness,8
808,125,The Shivers,10
809,126,Scramblepox,2
810,126,Smokesickness,11
811,126,Smokesickness,11
812,126,Smokesickness,11
813,126,Smokesickness,11
814,126,The Shivers,1
815,127,Scramblepox,5
816,128,Bumblepox,6
817,128,The Shivers,6
818,129,Bumblepox,5
819,129,Smokesickness,7
820,129,Smokesickness,7
821,129,Scraped Knee,8
822,129,The Shivers,5
823,130,Scramblepox,8
824,130,Scraped Elbow,6
825,130,Scraped Knee,6
826,131,Gurglepox,10
827,131,Chucklepox,10
828,131,Smokesickness,9
829,131,Smokesickness,9
830,131,Smokesickness,9
831,131,Smokesickness,9
832,131,Smokesickness,9
833,131,Smokesickness,9
834,131,Smokesickness,9
835,131,Scraped Knee,11
836,131,The Shivers,6
837,132,Smokesickness,7
838,132,Smokesickness,7
839,132,Smokesickness,7
840,132,The Shivers,1
841,133,Rumblepox,6
842,133,Rumblepox,6
843,133,Rumblepox,6
844,133,Rumblepox,6
845,133,Rumblepox,6
846,133,Rumblepox,6
847,133,Gurglepox,5
848,133,Scramblepox,5
849,133,The Shivers,2
850,134,Rumblepox,4
851,134,Smokesickness,6
852,134,Smokesickness,6
853,134,Scraped Elbow,11
854,134,The Shivers,3
855,135,Scramblepox,1
856,135,Smokesickness,10
857,135,Smokesickness,10
858,135,The Shivers,11
859,136,Scramblepox,12
860,136,Smokesickness,4
861,136,Smokesickness,4
862,136,Smokesickness,4
863,136,The Shivers,7
864,137,Smokesickness,6
865,137,Smokesickness,6
866,137,Smokesickness,6
867,137,Smokesickness,6
868,137,The Shivers,8
869,138,Mildly But Persistently Itchy Throat,8
870,138,Scramblepox,4
871,138,Smokesickness,9
872,138,Smokesickness,9
873,138,Smokesickness,9
874,138,Smokesickness,9
875,138,Smokesickness,9
876,138,Smokesickness,9
877,138,Scraped Elbow,11
878,138,Scraped Knee,11
879,138,Scraped Knee,11
880,138,The Shivers,12
881,139,Rumblepox,8
882,139,Rumblepox,8
883,139,Rumblepox,8
884,139,Bumblepox,3
885,139,Smokesickness,3
886,139,Smokesickness,3
887,139,Scraped Knee,4
888,139,The Shivers,12
889,140,Babblepox,6
890,140,Babblepox,6
891,140,Scramblepox,6
892,140,Smokesickness,10
893,140,Smokesickness,10
894,140,Scraped Elbow,9
895,140,Scraped Knee,9
896,140,Scraped Knee,9
897,140,The Shivers,11
898,141,The Shivers,4
899,142,Scramblepox,6
900,142,The Shivers,6
901,143,Scramblepox,9
902,143,Smokesickness,6
903,143,Smokesickness,6
904,143,Smokesickness,6
905,143,Smokesickness,6
906,143,Smokesickness,6
907,143,The Shivers,10
908,144,Smokesickness,7
909,144,Smokesickness,7
910,144,Smokesickness,7
911,144,Smokesickness,7
912,144,Smokesickness,7
913,144,Smokesickness,7
914,144,Scraped Knee,1
915,144,Scraped Knee,1
916,145,Scramblepox,9
917,145,Smokesickness,4
918,145,The Shivers,12
919,146,Scramblepox,7
920,146,Rumblepox,7
921,146,Gurglepox,7
922,146,Smokesickness,7
923,146,The Shivers,12
924,147,Smokesickness,9
925,147,The Shivers,6
926,148,Scramblepox,7
927,148,Chucklepox,7
928,148,Smokesickness,10
929,148,The Shivers,1
930,149,Scramblepox,1
931,149,The Shivers,12
932,150,Bumblepox,4
933,150,Scramblepox,4
934,150,Smokesickness,10
935,150,Smokesickness,10
936,150,Smokesickness,10
937,150,Smokesickness,10
938,150,The Shivers,6
939,151,Scramblepox,5
940,151,The Shivers,7
941,152,Babblepox,8
942,152,Babblepox,8
943,152,Bumblepox,8
944,152,Bumblepox,4
945,152,Scraped Knee,12
946,152,Scraped Elbow,12
947,152,Scraped Knee,12
948,153,Smokesickness,11
949,153,Smokesickness,11
950,153,The Shivers,1
951,154,Chucklepox,1
952,154,Chucklepox,1
953,154,Mildly But Persistently Itchy Throat,1
954,154,The Shivers,9
955,155,Scramblepox,9
956,155,Smokesickness,9
957,155,Smokesickness,9
958,155,Scraped Knee,7
959,155,Scraped Knee,7
960,155,Scraped Elbow,7
961,155,The Shivers,4
962,156,Bumblepox,6
963,156,Babblepox,6
964,156,Rumblepox,6
965,156,Scramblepox,8
966,156,Smokesickness,11
967,156,Smokesickness,11
968,156,Smokesickness,11
969,156,Smokesickness,11
970,156,The Shivers,6
971,157,The Shivers,6
972,158,Bumblepox,10
973,158,The Shivers,10
974,159,Scramblepox,11
975,159,Smokesickness,3
976,159,The Shivers,6
977,160,Scramblepox,2
978,160,Smokesickness,10
979,160,Smokesickness,10
980,160,Smokesickness,10
981,160,The Shivers,6
982,161,Chucklepox,6
983,161,Chucklepox,6
984,161,Smokesickness,11
985,161,Smokesickness,11
986,161,Smokesickness,11
987,161,Smokesickness,11
988,161,The Shivers,3
989,162,Bumblepox,4
990,162,Smokesickness,7
991,162,Smokesickness,7
992,162,Smokesickness,7
993,162,Scraped Knee,8
994,162,The Shivers,6
995,163,Bumblepox,2
996,163,Gurglepox,11
997,163,Bumblepox,3
998,163,The Shivers,5
999,164,Gurglepox,3
1000,164,Bumblepox,6
1001,164,Smokesickness,11
1002,164,Scraped Elbow,2
1003,164,Scraped Knee,2
1004,164,Scraped Knee,2
1005,164,The Shivers,6
1006,165,Rumblepox,6
1007,165,Rumblepox,6
1008,165,Rumblepox,6
1009,165,Rumblepox,6
1010,165,Rumblepox,6
1011,165,Smokesickness,8
1012,165,Smokesickness,8
1013,165,Smokesickness,8
1014,165,Smokesickness,8
1015,165,Smokesickness,8
1016,165,Smokesickness,8
1017,165,The Shivers,1
1018,166,Smokesickness,10
1019,166,Smokesickness,10
1020,166,Smokesickness,10
1021,166,Smokesickness,10
1022,166,Smokesickness,10
1023,166,Smokesickness,10
1024,166,Smokesickness,10
1025,166,The Shivers,6
1026,167,Mildly But Persistently Itchy Throat,11
1027,167,Scramblepox,9
1028,167,Smokesickness,11
1029,167,The Shivers,12
1030,168,Bumblepox,8
1031,168,Smokesickness,5
1032,168,Smokesickness,5
1033,168,Smokesickness,5
1034,168,Smokesickness,5
1035,168,Smokesickness,5
1036,168,Smokesickness,5
1037,168,Smokesickness,5
1038,168,Smokesickness,5
1039,168,Smokesickness,5
1040,168,The Shivers,5
1041,169,Scramblepox,11
1042,169,Smokesickness,11
1043,170,The Shivers,1
1044,171,Scramblepox,1
1045,171,Smokesickness,6
1046,171,Smokesickness,6
1047,171,Smokesickness,6
1048,171,Smokesickness,6
1049,171,Smokesickness,6
1050,171,Scraped Knee,6
1051,171,Scraped Knee,6
1052,171,Scraped Knee,6
1053,172,Bumblepox,12
1054,173,Bumblepox,1
1055,173,The Shivers,6
1056,174,Rumblepox,6
1057,174,Rumblepox,6
1058,174,Rumblepox,6
1059,174,Rumblepox,6
1060,174,Rumblepox,6
1061,174,Scramblepox,2
